objID,RA_ICRS,DE_ICRS,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,pmRA,pmDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,spCl,subCl
1237680311773757703,20.757305,32.05658,1,6,1,0.003,0.003,19.102,18.188,17.877,17.726,17.671,0.027,0.007,0.007,0.008,0.019,-7.0E-4,2.0E-5,0,3.96,-3.39,,,,3,"SDSS J012301.75+320323.6","6597-56304-0086 ",55121.4316,"STAR  ","A2II        "
1237666214077726760,20.917167,31.971177,1,6,1,0.001,0.001,16.631,15.454,15.234,15.18,15.2,0.006,0.004,0.004,0.004,0.005,-1.0E-4,1.0E-5,16,-5.72,-1.9,,,,3,"SDSS J012340.12+315816.2","2041-53387-0599 ",53263.4037,"STAR  ","F5          "
1237666214077726809,20.957469,32.006965,1,6,1,0.001,0.001,18.192,16.86,16.277,16.045,15.927,0.013,0.004,0.004,0.004,0.006,-5.5E-4,1.0E-5,0,31.54,-37.81,,,,3,"SDSS J012349.79+320025.0","2041-53387-0600 ",53263.4037,"STAR  ","F9          "
1237666214077726806,20.908301,32.01204,1,6,1,0.002,0.002,19.066,17.47,16.74,16.404,16.208,0.02,0.005,0.004,0.004,0.007,-6.4E-4,1.0E-5,0,0.07,-2.23,,,,3,"SDSS J012337.99+320043.3","2041-53387-0541 ",53263.4037,"STAR  ","G0          "
1237666214077726905,20.939882,32.040348,1,6,1,0.001,0.001,17.764,16.284,15.75,15.577,15.495,0.01,0.004,0.004,0.004,0.005,-1.8E-4,1.0E-5,0,-5.36,-1.63,,,,3,"SDSS J012345.57+320225.2","2041-53387-0598 ",53263.4037,"STAR  ","F9          "
1237666214077792316,21.000696,32.084215,1,6,1,0.002,0.002,18.507,17.192,16.746,16.564,16.461,0.016,0.004,0.004,0.004,0.008,-5.5E-4,1.0E-5,0,0.0,0.0,,,,3,"SDSS J012400.16+320503.1","2041-53387-0593 ",53263.4042,"STAR  ","F9          "
1237666214077792293,21.046705,32.068022,1,6,1,0.0,0.001,15.146,13.933,14.06,14.187,14.297,0.004,0.003,0.003,0.003,0.004,-0.00135,0.0,16,-10.16,-22.72,,,,3,"SDSS J012411.20+320404.8","2041-53387-0594 ",53263.4042,"STAR  ","A0          "
1237666214077792516,21.028154,32.092765,1,6,1,0.008,0.008,21.327,20.01,19.403,19.192,19.139,0.086,0.016,0.013,0.016,0.042,-2.2E-4,2.0E-5,0,0.85,0.12,,,,3,"SDSS J012406.75+320533.9","2061-53711-0588 ",53263.4042,"STAR  ","F9          "
1237666214077726845,20.843278,32.027042,1,6,1,0.002,0.002,18.506,17.047,16.483,16.279,16.178,0.015,0.004,0.004,0.004,0.007,-1.0E-4,1.0E-5,0,0.25,1.46,,,,3,"SDSS J012322.38+320137.3","2041-53387-0548 ",53263.4037,"STAR  ","F9          "
1237666214077792341,20.909784,32.125398,1,6,1,0.002,0.002,18.812,17.262,16.682,16.479,16.367,0.018,0.005,0.004,0.004,0.008,-2.0E-5,1.0E-5,0,-9.18,1.18,,,,3,"SDSS J012338.34+320731.4","2041-53387-0581 ",53263.4042,"STAR  ","F9          "
1237666214077792435,20.991889,32.178923,1,6,1,0.002,0.002,18.631,17.092,16.506,16.302,16.204,0.016,0.004,0.004,0.004,0.007,-2.0E-5,1.0E-5,0,1.75,-6.55,,,,3,"SDSS J012358.05+321044.1","2041-53387-0584 ",53263.4042,"STAR  ","F9          "
1237666214077793017,20.887051,32.171383,1,3,1,0.041,0.035,23.0,21.953,19.916,19.061,18.491,0.71,0.129,0.034,0.026,0.052,-0.00127,0.14574,4,22.25,-50.17,0.4672,0.0349,0.4669,3,"SDSS J012332.89+321016.9","6600-56566-0443 ",53263.4042,"STAR  ","Ldwarf      "
1237680315522678810,20.56639,31.943807,1,6,1,0.002,0.002,18.509,17.099,16.512,16.29,16.181,0.021,0.004,0.004,0.004,0.009,-7.0E-5,1.0E-5,0,3.1,-0.16,,,,3,"SDSS J012215.93+315637.7","2041-53387-0543 ",55121.4604,"STAR  ","F9          "
1237680311773691978,20.562853,31.977242,1,6,1,0.002,0.002,18.855,17.484,16.954,16.748,16.656,0.023,0.005,0.005,0.005,0.01,-1.6E-4,1.0E-5,0,-1.55,-11.84,,,,3,"SDSS J012215.08+315838.0","2041-53387-0508 ",55121.4312,"STAR  ","F9          "
1237680311773692130,20.598439,32.0383,1,6,1,0.01,0.01,21.466,20.134,19.525,19.199,19.144,0.14,0.019,0.017,0.02,0.06,-1.0E-4,2.0E-5,0,1.56,4.49,,,,3,"SDSS J012223.62+320217.8","2061-53711-0549 ",55121.4312,"STAR  ","F9          "
1237666214614597782,20.43027,32.064758,1,6,1,0.003,0.003,20.063,18.616,18.044,17.87,17.722,0.036,0.007,0.007,0.007,0.017,-2.1E-4,1.0E-5,0,-4.91,-3.79,,,,3,"SDSS J012143.26+320353.1","2061-53711-0518 ",53263.4037,"STAR  ","F9          "
1237666214614663173,20.460583,32.131652,1,6,1,0.018,0.015,24.635,22.143,20.486,20.382,22.827,0.83,0.104,0.032,0.042,0.568,-1.0E-5,2.0E-5,0,0.0,0.0,,,,3,"SDSS J012150.53+320753.9","7728-58138-0536 ",53263.4042,"STAR  ","B9.5V+...   "
1237680311773692523,20.593643,32.121984,1,6,1,0.047,0.044,24.243,21.923,21.42,21.226,20.957,1.111,0.073,0.077,0.104,0.285,3.2E-4,7.0E-5,0,10.64,-38.25,,,,3,"SDSS J012222.47+320719.1","7728-58138-0576 ",55121.4312,"STAR  ","F8V         "
1237680311773692100,20.578923,32.155762,1,6,1,0.004,0.004,20.129,18.723,18.18,17.937,17.792,0.054,0.009,0.008,0.009,0.021,-2.5E-4,1.0E-5,0,-1.81,-2.57,,,,3,"SDSS J012218.94+320920.7","2061-53711-0542 ",55121.4312,"STAR  ","F9          "
1237666214614664027,20.520559,32.180528,1,6,1,0.059,0.048,24.262,21.936,21.781,21.538,21.072,0.697,0.063,0.079,0.099,0.226,-8.1E-4,4.5E-4,4,,,,,,3,"SDSS J012204.93+321049.8","6596-56331-0634 ",53263.4042,"STAR  ","A0IVn       "
1237680316059484831,20.571606,32.183554,1,6,1,0.062,0.068,23.398,22.663,21.286,20.154,19.442,0.939,0.185,0.095,0.052,0.086,-2.3E-4,5.0E-5,0,,,,,,3,"SDSS J012217.18+321100.7","7728-58138-0573 ",55121.46,"STAR  ","M4.5:III    "
1237680316059615254,20.772031,32.150093,1,6,1,0.002,0.002,18.366,16.818,16.244,16.047,15.957,0.019,0.004,0.004,0.004,0.007,-1.4E-4,1.0E-5,0,6.46,0.54,,,,3,"SDSS J012305.28+320900.3","2041-53387-0547 ",55121.4608,"STAR  ","F9          "
